Deliver one-by-one (78 moves)
@0, n = G, q = Tr2, load= { P51 }, drop= {  }, moving G->F:E8 arr 4
@0, n = A, q = Tr1, load= { P81 }, drop= {  }, moving A->L:E11 arr 3
@3, n = L, q = Tr1, load= { P61 }, drop= { P81 }, moving L->F:E10 arr 4
@4, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 5
@4, n = F, q = Tr1, load= {  }, drop= {  }, moving F->D:E7 arr 7
@5, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 8
@7, n = D, q = Tr1, load= {  }, drop= {  }, moving D->E:E4 arr 10
@8, n = A, q = Tr2, load= { P82 }, drop= { P51 }, moving A->B:E1 arr 10
@10, n = E, q = Tr1, load= { P31 }, drop= { P61 }, moving E->C:E3 arr 13
@10, n = B, q = Tr2, load= {  }, drop= {  }, moving B->C:E2 arr 12
@12, n = C, q = Tr2, load= {  }, drop= {  }, moving C->E:E3 arr 15
@13, n = C, q = Tr1, load= { P21 }, drop= { P31 }, moving C->E:E3 arr 16
@15, n = E, q = Tr2, load= {  }, drop= { P82 }, moving E->C:E3 arr 18
@16, n = E, q = Tr1, load= {  }, drop= {  }, moving E->D:E4 arr 19
@18, n = C, q = Tr2, load= { P22 }, drop= {  }, moving C->B:E2 arr 20
@19, n = D, q = Tr1, load= {  }, drop= {  }, moving D->H:E5 arr 20
@20, n = H, q = Tr1, load= {  }, drop= {  }, moving H->K:E6 arr 24
@20, n = B, q = Tr2, load= {  }, drop= {  }, moving B->A:E1 arr 22
@22, n = A, q = Tr2, load= {  }, drop= { P22 }, moving A->B:E1 arr 24
@24, n = K, q = Tr1, load= { P71 }, drop= { P21 }, moving K->H:E6 arr 28
@24, n = B, q = Tr2, load= { P11 }, drop= {  }, moving B->C:E2 arr 26
@26, n = C, q = Tr2, load= {  }, drop= {  }, moving C->E:E3 arr 29
@28, n = H, q = Tr1, load= {  }, drop= {  }, moving H->D:E5 arr 29
@29, n = E, q = Tr2, load= {  }, drop= {  }, moving E->D:E4 arr 32
@29, n = D, q = Tr1, load= {  }, drop= {  }, moving D->F:E7 arr 32
@32, n = D, q = Tr2, load= {  }, drop= {  }, moving D->H:E5 arr 33
@32, n = F, q = Tr1, load= {  }, drop= {  }, moving F->L:E10 arr 33
@33, n = H, q = Tr2, load= {  }, drop= {  }, moving H->K:E6 arr 37
@33, n = L, q = Tr1, load= {  }, drop= {  }, moving L->A:E11 arr 36
@36, n = A, q = Tr1, load= {  }, drop= { P71 }, moving A->B:E1 arr 38
@37, n = K, q = Tr2, load= {  }, drop= { P11 }, moving K->H:E6 arr 41
@38, n = B, q = Tr1, load= { P12 }, drop= {  }, moving B->C:E2 arr 40
@40, n = C, q = Tr1, load= {  }, drop= {  }, moving C->E:E3 arr 43
@41, n = H, q = Tr2, load= { P71 }, drop= {  }, moving H->D:E5 arr 42
@42, n = D, q = Tr2, load= {  }, drop= {  }, moving D->F:E7 arr 45
@43, n = E, q = Tr1, load= {  }, drop= {  }, moving E->D:E4 arr 46
@45, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 46
@46, n = D, q = Tr1, load= { P41 }, drop= { P12 }, moving D->H:E5 arr 47
@46, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 49
@47, n = H, q = Tr1, load= {  }, drop= {  }, moving H->K:E6 arr 51
@49, n = A, q = Tr2, load= {  }, drop= { P71 }, moving A->B:E1 arr 51
@51, n = K, q = Tr1, load= {  }, drop= { P41 }, moving K->H:E6 arr 55
@51, n = B, q = Tr2, load= { P13 }, drop= {  }, moving B->C:E2 arr 53
@53, n = C, q = Tr2, load= {  }, drop= {  }, moving C->E:E3 arr 56
@55, n = H, q = Tr1, load= {  }, drop= {  }, moving H->D:E5 arr 56
@56, n = E, q = Tr2, load= {  }, drop= {  }, moving E->D:E4 arr 59
@56, n = D, q = Tr1, load= { P42 }, drop= {  }, moving D->F:E7 arr 59
@59, n = D, q = Tr2, load= {  }, drop= {  }, moving D->H:E5 arr 60
@59, n = F, q = Tr1, load= {  }, drop= {  }, moving F->L:E10 arr 60
@60, n = H, q = Tr2, load= {  }, drop= { P13 }, moving H->D:E5 arr 61
@60, n = L, q = Tr1, load= { P62 }, drop= { P42 }, moving L->A:E11 arr 63
@61, n = D, q = Tr2, load= {  }, drop= {  }, moving D->F:E7 arr 64
@63, n = A, q = Tr1, load= {  }, drop= {  }, moving A->B:E1 arr 65
@64, n = F, q = Tr2, load= { P91 }, drop= {  }, moving F->L:E10 arr 65
@65, n = B, q = Tr1, load= {  }, drop= { P62 }, moving B->C:E2 arr 67
@65, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 68
@67, n = C, q = Tr1, load= {  }, drop= {  }, moving C->E:E3 arr 70
@68, n = A, q = Tr2, load= {  }, drop= {  }, moving A->B:E1 arr 70
@70, n = B, q = Tr2, load= {  }, drop= { P91 }, moving B->A:E1 arr 72
@70, n = E, q = Tr1, load= { P32 }, drop= {  }, moving E->C:E3 arr 73
@72, n = A, q = Tr2, load= {  }, drop= {  }, moving A->L:E11 arr 75
@73, n = C, q = Tr1, load= {  }, drop= { P32 }, moving C->B:E2 arr 75
@75, n = L, q = Tr2, load= {  }, drop= {  }, moving L->F:E10 arr 76
@75, n = B, q = Tr1, load= {  }, drop= {  }, moving B->A:E1 arr 77
@76, n = F, q = Tr2, load= { P92 }, drop= {  }, moving F->D:E7 arr 79
@77, n = A, q = Tr1, load= {  }, drop= {  }, moving A->L:E11 arr 80
@79, n = D, q = Tr2, load= {  }, drop= {  }, moving D->H:E5 arr 80
@80, n = H, q = Tr2, load= {  }, drop= {  }, moving H->K:E6 arr 84
@80, n = L, q = Tr1, load= {  }, drop= {  }, moving L->F:E10 arr 81
@81, n = F, q = Tr1, load= { P93 }, drop= {  }, moving F->D:E7 arr 84
@84, n = K, q = Tr2, load= {  }, drop= { P92 }, moving K->G:E9 arr 90
@84, n = D, q = Tr1, load= {  }, drop= {  }, moving D->E:E4 arr 87
@87, n = E, q = Tr1, load= {  }, drop= { P93 }, parked
@90, n = G, q = Tr2, load= { P52 }, drop= {  }, moving G->F:E8 arr 94
@94, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 95
@95, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 98
@98, n = A, q = Tr2, load= {  }, drop= {  }, moving A->B:E1 arr 100
@100, n = B, q = Tr2, load= {  }, drop= { P52 }, parked
Deliver with pickups (66 moves)
@0, n = G, q = Tr2, load= { P51 }, drop= {  }, moving G->F:E8 arr 4
@0, n = A, q = Tr1, load= { P81 }, drop= {  }, moving A->L:E11 arr 3
@3, n = L, q = Tr1, load= { P61 }, drop= { P81 }, moving L->F:E10 arr 4
@4, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 5
@4, n = F, q = Tr1, load= { P93 }, drop= {  }, moving F->D:E7 arr 7
@5, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 8
@7, n = D, q = Tr1, load= {  }, drop= {  }, moving D->E:E4 arr 10
@8, n = A, q = Tr2, load= { P82 }, drop= { P51 }, moving A->B:E1 arr 10
@10, n = E, q = Tr1, load= { P31 }, drop= { P61,P93 }, moving E->C:E3 arr 13
@10, n = B, q = Tr2, load= {  }, drop= {  }, moving B->C:E2 arr 12
@12, n = C, q = Tr2, load= {  }, drop= {  }, moving C->E:E3 arr 15
@13, n = C, q = Tr1, load= { P21 }, drop= { P31 }, moving C->E:E3 arr 16
@15, n = E, q = Tr2, load= {  }, drop= { P82 }, moving E->C:E3 arr 18
@16, n = E, q = Tr1, load= {  }, drop= {  }, moving E->D:E4 arr 19
@18, n = C, q = Tr2, load= { P22 }, drop= {  }, moving C->B:E2 arr 20
@19, n = D, q = Tr1, load= { P41 }, drop= {  }, moving D->H:E5 arr 20
